Freq*	LinStr
1325	mimeType: application/vnd.google-apps.folder
950	mimeType: application/pdf
527	mimeType: application/octet-stream
441	mimeType: image/jpeg
196	mimeType: image/png
181	mimeType: text/csv
177	mimeType: text/html
173	mimeType: application/vnd.google-apps.document
145	mimeType: application/vnd.openxmlformats-officedocument.presentationml.presentation
102	mimeType: text/x-tex
97	mimeType: application/vnd.openxmlformats-officedocument.wordprocessingml.document
92	mimeType: application/vnd.google-apps.spreadsheet
80	mimeType: application/json
78	mimeType: text/plain
56	mimeType: audio/mpeg
46	mimeType: application/vnd.openxmlformats-officedocument.spreadsheetml.sheet
45	mimeType: text/markdown
44	mimeType: application/gzip
37	mimeType: image/svg+xml
24	mimeType: application/vnd.google-apps.presentation
21	mimeType: application/rtf
16	mimeType: text/texmacs
16	mimeType: application/msword
15	mimeType: plain/text
14	mimeType: video/mp4
10	mimeType: text/x-bibtex
9	mimeType: application/zip
8	mimeType: image/gif
8	mimeType: application/x-dvi
6	mimeType: text/tab-separated-values
6	mimeType: text/x-sh
5	mimeType: text/javascript
4	mimeType: image/webp
4	mimeType: application/vnd.google.colaboratory
4	mimeType: application/postscript
3	mimeType: text/x-python
3	mimeType: application/x-gzip
3	mimeType: text/css
3	mimeType: video/x-ms-wmv
3	mimeType: application/x-zip
2	mimeType: video/quicktime
2	mimeType: audio/x-m4a
2	mimeType: application/vnd.google-apps.earth
2	mimeType: text/rtf
2	mimeType: text/x-dsrc
2	mimeType: application/x-zip-compressed
2	mimeType: text/x-uuencode
2	mimeType: application/vnd.ms-powerpoint
1	mimeType: application/vnd.google-apps.shortcut
1	mimeType: application/x-iwork-keynote-sffkey
1	mimeType: application/vnd.google-apps.drawing
1	mimeType: application/x-httpd-php
1	mimeType: image/x-icon
1	mimeType: application/x-perl
1	mimeType: application/vnd.google-apps.map
